sample	dataset	organism	day	original.annotation	new.identity
D14A1B8	Xiang	H.sapiens	14	PSA.EPI	hsPrE
D14A1S8	Xiang	H.sapiens	14	Intermediate	hsAME.E
D10A2S24	Xiang	H.sapiens	10	PrE	hsPrE
D14A1B4	Xiang	H.sapiens	14	Intermediate	hsPrE
D9A4B2	Xiang	H.sapiens	9	Early.EVT	hsCTB
D14A1S14	Xiang	H.sapiens	14	PSA.EPI	hsPostEPI.Gast
D14A1S9	Xiang	H.sapiens	14	PSA.EPI	hsPostEPI.Gast
D14A1S13	Xiang	H.sapiens	14	PSA.EPI	hsPostEPI.Gast
D14A1B11	Xiang	H.sapiens	14	Intermediate	hsPrE
D14A1S25	Xiang	H.sapiens	14	Intermediate	hsAME.E
D14A1B2	Xiang	H.sapiens	14	PSA.EPI	hsPostEPI.Gast
D8A1B2	Xiang	H.sapiens	8	Early.EVT	hsCTB
D9A3S1	Xiang	H.sapiens	9	Early.EVT	hsCTB
D12A5B11	Xiang	H.sapiens	12	PrE	hsPrE
D8A1S31	Xiang	H.sapiens	8	PostEPI	hsPostEPI.E1
D8A1B6	Xiang	H.sapiens	8	Early.EVT	hsCTB
D8A2S24	Xiang	H.sapiens	8	Early.EVT	hsCTB
D14A1S11	Xiang	H.sapiens	14	PSA.EPI	hsPostEPI.Gast
D9A1B16	Xiang	H.sapiens	9	Early.EVT	hsCTB
D14A1B25	Xiang	H.sapiens	14	STB	hsSTB
D8A6B6	Xiang	H.sapiens	8	Early.EVT	hsCTB
D14A1S10	Xiang	H.sapiens	14	Intermediate	hsAME.E
D8A3B11	Xiang	H.sapiens	8	PrE	hsPrE
D8A1S7	Xiang	H.sapiens	8	Early.EVT	hsCTB
D9A1S28	Xiang	H.sapiens	9	PostEPI	hsPostEPI.E1
D14A2B16	Xiang	H.sapiens	14	STB	hsSTB
D14A1S30	Xiang	H.sapiens	14	PSA.EPI	hsPostEPI.Gast
D14A1B9	Xiang	H.sapiens	14	Intermediate	hsAME.E
D6A5B4	Xiang	H.sapiens	6	ICM	hsTE
D12A4B5	Xiang	H.sapiens	12	STB	hsSTB
D9A1S3	Xiang	H.sapiens	9	Early.EVT	hsCTB
D14A1S31	Xiang	H.sapiens	14	PSA.EPI	hsPostEPI.Gast
D14A1S2	Xiang	H.sapiens	14	Intermediate	hsAME.E
D10A1S1	Xiang	H.sapiens	10	Early.EVT	hsCTB
D14A1B3	Xiang	H.sapiens	14	AME	hsEVT
D8A2S4	Xiang	H.sapiens	8	Early.EVT	hsCTB
D12A4B9	Xiang	H.sapiens	12	STB	hsSTB
D8A3S7	Xiang	H.sapiens	8	Early.EVT	hsCTB
D9A4S7	Xiang	H.sapiens	9	Early.EVT	hsCTB
D14A1S28	Xiang	H.sapiens	14	PSA.EPI	hsPostEPI.Gast
D8A6B3	Xiang	H.sapiens	8	PostCTB	hsCTB
D9A4S9	Xiang	H.sapiens	9	Early.EVT	hsCTB
D8A2S2	Xiang	H.sapiens	8	PreEPI	hsPostEPI.E1
D14A1S7	Xiang	H.sapiens	14	PSA.EPI	hsPrE
D9A3B7	Xiang	H.sapiens	9	Early.EVT	hsCTB
D12A3B1	Xiang	H.sapiens	12	PrE	hsPrE
D14A1S33	Xiang	H.sapiens	14	PostEPI	hsPostEPI.E2
D7N1B7	Xiang	H.sapiens	7	PreEPI	hsPreEPI
D9A1S2	Xiang	H.sapiens	9	Early.EVT	hsCTB
D12A3S15	Xiang	H.sapiens	12	PostEPI	hsPostEPI.E2
D9A1B1	Xiang	H.sapiens	9	Early.EVT	hsCTB
D9A4S11	Xiang	H.sapiens	9	Early.EVT	hsCTB
D12A3B11	Xiang	H.sapiens	12	STB	hsSTB
D14A1S32	Xiang	H.sapiens	14	Intermediate	hsAME.E
D12A3B14	Xiang	H.sapiens	12	PostEPI	hsPostEPI.E2
D7A4B6	Xiang	H.sapiens	7	PostCTB	hsCTB
D14A1S1	Xiang	H.sapiens	14	Intermediate	hsAME.E
D12A3B7	Xiang	H.sapiens	12	STB	hsSTB
D14A1S12	Xiang	H.sapiens	14	Intermediate	hsPrE
D9A4B7	Xiang	H.sapiens	9	Early.EVT	hsCTB
D9A4B8	Xiang	H.sapiens	9	Early.EVT	hsCTB
D14A1S22	Xiang	H.sapiens	14	Intermediate	hsAME.E
D9A5S8	Xiang	H.sapiens	9	Early.EVT	hsCTB
D9A1S23	Xiang	H.sapiens	9	Early.EVT	hsCTB
D14A2S1	Xiang	H.sapiens	14	EVT	hsEVT
D10A1S11	Xiang	H.sapiens	10	Early.EVT	hsCTB
D9A1S26	Xiang	H.sapiens	9	Early.EVT	hsCTB
D9A1S8	Xiang	H.sapiens	9	PostCTB	hsCTB
D8A5B8	Xiang	H.sapiens	8	PostCTB	hsCTB
D10A1S21	Xiang	H.sapiens	10	PostEPI	hsPostEPI.E1
D8A6S15	Xiang	H.sapiens	8	Early.EVT	hsCTB
D9A3S14	Xiang	H.sapiens	9	PostEPI	hsPostEPI.E1
D6N1B6	Xiang	H.sapiens	6	ICM	hsICM
D8A2S3	Xiang	H.sapiens	8	Early.EVT	hsCTB
D12_2B2	Xiang	H.sapiens	12	EVT	hsEVT
D12A5S1	Xiang	H.sapiens	12	PrE	hsPrE
D14A1B24	Xiang	H.sapiens	14	STB	hsSTB
D14A1S51	Xiang	H.sapiens	14	PostEPI	hsPostEPI.E2
D7N1B1	Xiang	H.sapiens	7	PreEPI	hsPreEPI
D8A2S15	Xiang	H.sapiens	8	PreEPI	hsPostEPI.E1
D14A1S23	Xiang	H.sapiens	14	Intermediate	hsAME.E
D8A6B1	Xiang	H.sapiens	8	PostCTB	hsCTB
D6A4S5	Xiang	H.sapiens	6	ICM	hsTE
D12A3S13	Xiang	H.sapiens	12	PostEPI	hsPostEPI.E2
D14A1S5	Xiang	H.sapiens	14	Intermediate	hsAME.E
D7N1S30	Xiang	H.sapiens	7	PreEPI	hsPreEPI
D14A2B1	Xiang	H.sapiens	14	EVT	hsEVT
D14A1S57	Xiang	H.sapiens	14	Intermediate	hsPostEPI.AME
D14A1S6	Xiang	H.sapiens	14	PSA.EPI	hsPostEPI.Gast
D9A1S10	Xiang	H.sapiens	9	PreEPI	hsPostEPI.E1
D6A4B3	Xiang	H.sapiens	6	ICM	hsICM
D8A3S12	Xiang	H.sapiens	8	Early.EVT	hsCTB
D6A5B3	Xiang	H.sapiens	6	ICM	hsTE
D14A2S13	Xiang	H.sapiens	14	EVT	hsEVT
D9A2B8	Xiang	H.sapiens	9	Early.EVT	hsCTB
D14A1B15	Xiang	H.sapiens	14	AME	hsPostEPI.Gast
D12A5S17	Xiang	H.sapiens	12	PrE	hsPrE
D12A3S24	Xiang	H.sapiens	12	PostEPI	hsPostEPI.E2
D12A4S29	Xiang	H.sapiens	12	Intermediate	hsPostEPI.AME
D8A1B3	Xiang	H.sapiens	8	Early.EVT	hsCTB
D9A5S12	Xiang	H.sapiens	9	PostEPI	hsPostEPI.E1
D9A6S10	Xiang	H.sapiens	9	Early.EVT	hsCTB
D12A5S4	Xiang	H.sapiens	12	PrE	hsPrE
D6A3S5	Xiang	H.sapiens	6	ICM	hsICM
D12A3S26	Xiang	H.sapiens	12	PostEPI	hsPostEPI.E2
D12A3B13	Xiang	H.sapiens	12	STB	hsSTB
D9A5S3	Xiang	H.sapiens	9	Early.EVT	hsCTB
D12A3S27	Xiang	H.sapiens	12	PostEPI	hsPostEPI.E2
D14A1B23	Xiang	H.sapiens	14	STB	hsSTB
D6A3B2	Xiang	H.sapiens	6	ICM	hsICM
D14A1B17	Xiang	H.sapiens	14	EVT	hsEVT
D9A4S14	Xiang	H.sapiens	9	PreCTB	hsTE
D10A4B3	Xiang	H.sapiens	10	Early.EVT	hsCTB
D12A3S32	Xiang	H.sapiens	12	PostEPI	hsPostEPI.E1
D10A1S23	Xiang	H.sapiens	10	PostEPI	hsPostEPI.E1
D14A1S56	Xiang	H.sapiens	14	PostEPI	hsPostEPI.E2
D6A2S7	Xiang	H.sapiens	6	ICM	hsICM
D9A2S1	Xiang	H.sapiens	9	PostCTB	hsCTB
D7N1S21	Xiang	H.sapiens	7	PreEPI	hsPreEPI
D8A5S1	Xiang	H.sapiens	8	PostCTB	hsCTB
D10A6S4	Xiang	H.sapiens	10	PostEPI	hsPostEPI.E1
D14_3B5	Xiang	H.sapiens	14	EVT	hsEVT
D8A5B7	Xiang	H.sapiens	8	Early.EVT	hsCTB
D14A1B13	Xiang	H.sapiens	14	PSA.EPI	hsPostEPI.Gast
D14_2B3	Xiang	H.sapiens	14	EVT	hsEVT
D9A6S15	Xiang	H.sapiens	9	Early.EVT	hsCTB
D10A1S12	Xiang	H.sapiens	10	Early.EVT	hsCTB
D9A2B5	Xiang	H.sapiens	9	PostCTB	hsCTB
D14A3B10	Xiang	H.sapiens	14	EVT	hsEVT
D7A1S9	Xiang	H.sapiens	7	PostCTB	hsCTB
D9A4B1	Xiang	H.sapiens	9	PrE	hsPrE
D12A3S16	Xiang	H.sapiens	12	PostEPI	hsPostEPI.E2
D9A4S3	Xiang	H.sapiens	9	PostEPI	hsPostEPI.E1
D8A1S1	Xiang	H.sapiens	8	Early.EVT	hsCTB
D14A2S21	Xiang	H.sapiens	14	EVT	hsEVT
D9A4S10	Xiang	H.sapiens	9	Early.EVT	hsCTB
D14A1S19	Xiang	H.sapiens	14	PSA.EPI	hsPostEPI.Gast
D14A1S24	Xiang	H.sapiens	14	AME	hsAME.E
D6A4S6	Xiang	H.sapiens	6	ICM	hsTE
D14_2S2	Xiang	H.sapiens	14	STB	hsSTB
D14A1S41	Xiang	H.sapiens	14	PostEPI	hsPostEPI.E2
D14_1B1	Xiang	H.sapiens	14	EVT	hsEVT
D6A3S3	Xiang	H.sapiens	6	PrE	hsPrE
D12A5S30	Xiang	H.sapiens	12	PrE	hsPrE
D14A2S19	Xiang	H.sapiens	14	STB	hsSTB
D12A3B3	Xiang	H.sapiens	12	STB	hsSTB
D14A2B12	Xiang	H.sapiens	14	EVT	hsEVT
D14A2S29	Xiang	H.sapiens	14	STB	hsSTB
D6N1B23	Xiang	H.sapiens	6	ICM	hsICM
D8A1S3	Xiang	H.sapiens	8	Early.EVT	hsCTB
D12A5S20	Xiang	H.sapiens	12	PrE	hsPrE
D7A2B4	Xiang	H.sapiens	7	PreCTB	hsTE
D14A1S60	Xiang	H.sapiens	14	Intermediate	hsPostEPI.AME
D6N2B7	Xiang	H.sapiens	6	ICM	hsICM
D7A4S1	Xiang	H.sapiens	7	PostCTB	hsCTB
D14A1S17	Xiang	H.sapiens	14	PSA.EPI	hsPostEPI.Gast
D6N3B12	Xiang	H.sapiens	6	PreEPI	hsPreEPI
D8A2S29	Xiang	H.sapiens	8	PreEPI	hsPostEPI.E1
D6A1S3	Xiang	H.sapiens	6	ICM	hsICM
D7A1B7	Xiang	H.sapiens	7	PreCTB	hsTE
D12A5S6	Xiang	H.sapiens	12	PostEPI	hsPostEPI.E1
D14A1B16	Xiang	H.sapiens	14	PSA.EPI	hsPostEPI.Gast
D12A5S5	Xiang	H.sapiens	12	PostEPI	hsPostEPI.E2
D9A1S7	Xiang	H.sapiens	9	Early.EVT	hsCTB
D8A5S14	Xiang	H.sapiens	8	PostCTB	hsCTB
D7A4B8	Xiang	H.sapiens	7	PostCTB	hsCTB
D14A1S42	Xiang	H.sapiens	14	Intermediate	hsPostEPI.AME
D14A2S5	Xiang	H.sapiens	14	EVT	hsEVT
D9A6S9	Xiang	H.sapiens	9	PrE	hsPrE
D6A4S7	Xiang	H.sapiens	6	ICM	hsTE
D14A1S58	Xiang	H.sapiens	14	PostEPI	hsPostEPI.AME
D14A1S26	Xiang	H.sapiens	14	PSA.EPI	hsPostEPI.Gast
D12A4S7	Xiang	H.sapiens	12	Intermediate	hsPostEPI.AME
D7A4B3	Xiang	H.sapiens	7	PostCTB	hsCTB
D12A4S21	Xiang	H.sapiens	12	STB	hsSTB
D14_1S2	Xiang	H.sapiens	14	EVT	hsEVT
D7A1S1	Xiang	H.sapiens	7	PreCTB	hsTE
D7A1S7	Xiang	H.sapiens	7	PostCTB	hsCTB
D14A1B19	Xiang	H.sapiens	14	EVT	hsEVT
D6N2B12	Xiang	H.sapiens	6	ICM	hsICM
D10A4S14	Xiang	H.sapiens	10	Early.EVT	hsCTB
D12_1B3	Xiang	H.sapiens	12	EVT	hsEVT
D7A1S11	Xiang	H.sapiens	7	PostCTB	hsCTB
D6A5S1	Xiang	H.sapiens	6	ICM	hsTE
D12A3S23	Xiang	H.sapiens	12	PostEPI	hsPostEPI.E2
D10A1S31	Xiang	H.sapiens	10	PostEPI	hsPostEPI.E1
D10A2B1	Xiang	H.sapiens	10	STB	hsSTB
D9A5S11	Xiang	H.sapiens	9	PreEPI	hsPreEPI
D10A4S7	Xiang	H.sapiens	10	Early.EVT	hsCTB
D6A5S7	Xiang	H.sapiens	6	ICM	hsTE
D12A5B9	Xiang	H.sapiens	12	STB	hsSTB
D14A1S63	Xiang	H.sapiens	14	STB	hsSTB
D12A4B16	Xiang	H.sapiens	12	STB	hsSTB
D6A3B1	Xiang	H.sapiens	6	ICM	hsICM
D14A1S64	Xiang	H.sapiens	14	PostEPI	hsPostEPI.E2
D9A4S6	Xiang	H.sapiens	9	Early.EVT	hsCTB
D9A4S5	Xiang	H.sapiens	9	PostEPI	hsPostEPI.E1
D14_1B2	Xiang	H.sapiens	14	STB	hsSTB
D8A6S7	Xiang	H.sapiens	8	PreEPI	hsPostEPI.E1
D14_3B6	Xiang	H.sapiens	14	EVT	hsEVT
D14A1S45	Xiang	H.sapiens	14	PostEPI	hsPostEPI.E2
D14A3S18	Xiang	H.sapiens	14	STB	hsSTB
D7N1S7	Xiang	H.sapiens	7	PreEPI	hsPreEPI
D9A3S3	Xiang	H.sapiens	9	Early.EVT	hsCTB
D6N2B11	Xiang	H.sapiens	6	ICM	hsICM
D10A1S40	Xiang	H.sapiens	10	PostEPI	hsPostEPI.E1
D14A2B2	Xiang	H.sapiens	14	EVT	hsEVT
D12A5S19	Xiang	H.sapiens	12	PostEPI	hsPostEPI.E2
D8A6S5	Xiang	H.sapiens	8	PostCTB	hsCTB
D12A5S16	Xiang	H.sapiens	12	PostEPI	hsPostEPI.E2
D10A5S12	Xiang	H.sapiens	10	EVT	hsEVT
D9A4S1	Xiang	H.sapiens	9	PreEPI	hsPostEPI.E1
D7A2B1	Xiang	H.sapiens	7	PostCTB	hsTE
D14A2S28	Xiang	H.sapiens	14	EVT	hsEVT
D10A2S32	Xiang	H.sapiens	10	PostEPI	hsPostEPI.E1
D14A3B2	Xiang	H.sapiens	14	EVT	hsEVT
D6A2B1	Xiang	H.sapiens	6	ICM	hsICM
D14A3B7	Xiang	H.sapiens	14	EVT	hsEVT
D6A3S1	Xiang	H.sapiens	6	ICM	hsICM
D12A3B15	Xiang	H.sapiens	12	STB	hsSTB
D12A3S2	Xiang	H.sapiens	12	PostEPI	hsPostEPI.E2
D12A5B15	Xiang	H.sapiens	12	STB	hsSTB
D12A3B16	Xiang	H.sapiens	12	STB	hsSTB
D7A4S13	Xiang	H.sapiens	7	PostCTB	hsCTB
D10A2B3	Xiang	H.sapiens	10	STB	hsSTB
D10A5B3	Xiang	H.sapiens	10	STB	hsSTB
D6A1B2	Xiang	H.sapiens	6	ICM	hsICM
D6A4S4	Xiang	H.sapiens	6	ICM	hsTE
D8A1S11	Xiang	H.sapiens	8	PreEPI	hsPostEPI.E1
D6A1S1	Xiang	H.sapiens	6	ICM	hsICM
D12_2B9	Xiang	H.sapiens	12	EVT	hsEVT
D14A2S27	Xiang	H.sapiens	14	EVT	hsEVT
D8A2S10	Xiang	H.sapiens	8	PreEPI	hsPostEPI.E1
D14A1S48	Xiang	H.sapiens	14	PostEPI	hsPostEPI.E2
D7A4B5	Xiang	H.sapiens	7	PostCTB	hsCTB
D6A1S4	Xiang	H.sapiens	6	ICM	hsICM
D6N1S4	Xiang	H.sapiens	6	PreEPI	hsPreEPI
D7A4S12	Xiang	H.sapiens	7	PrE	hsPrE
D14A3S23	Xiang	H.sapiens	14	EVT	hsEVT
D14A3S28	Xiang	H.sapiens	14	EVT	hsEVT
D14A3S30	Xiang	H.sapiens	14	EVT	hsEVT
D14A2S17	Xiang	H.sapiens	14	EVT	hsEVT
D14_1B5	Xiang	H.sapiens	14	EVT	hsEVT
D14A3S19	Xiang	H.sapiens	14	EVT	hsEVT
D14_3S10	Xiang	H.sapiens	14	PostEPI	hsPostEPI.E2
D7N1S18	Xiang	H.sapiens	7	ICM	hsTE
D10A6S14	Xiang	H.sapiens	10	PrE	hsPrE
D7A1S16	Xiang	H.sapiens	7	PreEPI	hsPreEPI
D7A2S3	Xiang	H.sapiens	7	PostCTB	hsTE
D14_2B1	Xiang	H.sapiens	14	EVT	hsEVT
D14A1S47	Xiang	H.sapiens	14	PostEPI	hsPostEPI.E2
D10A1S32	Xiang	H.sapiens	10	PostEPI	hsPostEPI.E1
D7N1S15	Xiang	H.sapiens	7	PreEPI	hsPreEPI
D12A3S3	Xiang	H.sapiens	12	Intermediate	hsPostEPI.AME
D8_8B2	Xiang	H.sapiens	8	PostCTB	hsTE
D7A4S2	Xiang	H.sapiens	7	PrE	hsPrE
D7A1B1	Xiang	H.sapiens	7	PreCTB	hsTE
D10A3S18	Xiang	H.sapiens	10	STB	hsSTB
D12A3B10	Xiang	H.sapiens	12	STB	hsSTB
D14A1S62	Xiang	H.sapiens	14	PostEPI	hsPostEPI.E2
D6N2B28	Xiang	H.sapiens	6	ICM	hsICM
D7A1S15	Xiang	H.sapiens	7	PreCTB	hsTE
D14A3S14	Xiang	H.sapiens	14	EVT	hsEVT
D10A6S5	Xiang	H.sapiens	10	PostEPI	hsPostEPI.E1
D6N1S19	Xiang	H.sapiens	6	ICM	hsICM
D7A1S14	Xiang	H.sapiens	7	PreCTB	hsTE
D14A3S7	Xiang	H.sapiens	14	EVT	hsEVT
D12A4S27	Xiang	H.sapiens	12	PostEPI	hsPostEPI.E2
D12A3B5	Xiang	H.sapiens	12	STB	hsSTB
D10A6S8	Xiang	H.sapiens	10	PostEPI	hsPostEPI.E1
D8A1S8	Xiang	H.sapiens	8	PostEPI	hsPostEPI.E1
D12A4S26	Xiang	H.sapiens	12	PostEPI	hsPostEPI.E2
D14A1B22	Xiang	H.sapiens	14	STB	hsSTB
D7A3B3	Xiang	H.sapiens	7	PostCTB	hsCTB
D7N1S27	Xiang	H.sapiens	7	PreEPI	hsPreEPI
D14A2S6	Xiang	H.sapiens	14	EVT	hsEVT
D14A3S29	Xiang	H.sapiens	14	Intermediate	hsPostEPI.AME
D7A3S3	Xiang	H.sapiens	7	PostCTB	hsCTB
D6A1B1	Xiang	H.sapiens	6	ICM	hsICM
D9A4S16	Xiang	H.sapiens	9	PreEPI	hsPostEPI.E1
D14A2S23	Xiang	H.sapiens	14	EVT	hsEVT
D8_8S3	Xiang	H.sapiens	8	PostCTB	hsCTB
D12A3S14	Xiang	H.sapiens	12	STB	hsSTB
D9A4S4	Xiang	H.sapiens	9	PreCTB	hsTE
D14A2B4	Xiang	H.sapiens	14	STB	hsSTB
D14A1B18	Xiang	H.sapiens	14	STB	hsSTB
D6N1S42	Xiang	H.sapiens	6	PreEPI	hsPreEPI
D7A3S12	Xiang	H.sapiens	7	PostCTB	hsCTB
D9A2B3	Xiang	H.sapiens	9	Early.EVT	hsCTB
D14A1S21	Xiang	H.sapiens	14	PSA.EPI	hsPostEPI.Gast
D6N1S3	Xiang	H.sapiens	6	PreEPI	hsPreEPI
D14A2B9	Xiang	H.sapiens	14	EVT	hsEVT
D6N1S33	Xiang	H.sapiens	6	PreEPI	hsPreEPI
D7A1B5	Xiang	H.sapiens	7	PostCTB	hsCTB
D7A1S13	Xiang	H.sapiens	7	PreEPI	hsPreEPI
D14A2B13	Xiang	H.sapiens	14	EVT	hsEVT
D7A2S1	Xiang	H.sapiens	7	PreCTB	hsTE
D8_8B3	Xiang	H.sapiens	8	PrE	hsPrE
D7A3S4	Xiang	H.sapiens	7	PostCTB	hsCTB
D14A3S8	Xiang	H.sapiens	14	EVT	hsEVT
D14A3B14	Xiang	H.sapiens	14	STB	hsSTB
D7A1S5	Xiang	H.sapiens	7	PreCTB	hsTE
D14A1S39	Xiang	H.sapiens	14	Intermediate	hsPostEPI.AME
D8_8S5	Xiang	H.sapiens	8	PostCTB	hsCTB
D7A3B1	Xiang	H.sapiens	7	PostCTB	hsCTB
D10A1S34	Xiang	H.sapiens	10	PreEPI	hsPostEPI.E1
D14A3S26	Xiang	H.sapiens	14	EVT	hsEVT
D10A3S10	Xiang	H.sapiens	10	STB	hsCTB
D7A3S5	Xiang	H.sapiens	7	PostCTB	hsTE
D7A1S6	Xiang	H.sapiens	7	PreCTB	hsTE
D14A3S20	Xiang	H.sapiens	14	Intermediate	hsPostEPI.AME
D8_8B1	Xiang	H.sapiens	8	PreEPI	hsPreEPI
D7A2S10	Xiang	H.sapiens	7	PostCTB	hsCTB
D12A3B8	Xiang	H.sapiens	12	Early.STB	hsSTB
D6A2B4	Xiang	H.sapiens	6	ICM	hsICM
D14_3S15	Xiang	H.sapiens	14	PostEPI	hsPostEPI.E2
D7A3S10	Xiang	H.sapiens	7	PostCTB	hsCTB
D6N1S34	Xiang	H.sapiens	6	PreEPI	hsPreEPI
D7A2S16	Xiang	H.sapiens	7	PostCTB	hsCTB
D12_2S1	Xiang	H.sapiens	12	STB	hsSTB
D14A1S46	Xiang	H.sapiens	14	PostEPI	hsPostEPI.E2
D12A3B2	Xiang	H.sapiens	12	STB	hsSTB
D6N1S1	Xiang	H.sapiens	6	PreEPI	hsPrE
D7A4S14	Xiang	H.sapiens	7	PostCTB	hsTE
D7A2S14	Xiang	H.sapiens	7	PreCTB	hsTE
D7A4S15	Xiang	H.sapiens	7	PostCTB	hsCTB
D8_8S1	Xiang	H.sapiens	8	PostCTB	hsCTB
D7A1S8	Xiang	H.sapiens	7	PrE	hsPrE
D8_8B4	Xiang	H.sapiens	8	PostCTB	hsTE
D7A3S1	Xiang	H.sapiens	7	PostCTB	hsCTB
D14A1S61	Xiang	H.sapiens	14	PostEPI	hsPostEPI.E2
D7N1S9	Xiang	H.sapiens	7	PreEPI	hsPreEPI
D7A1B8	Xiang	H.sapiens	7	PreCTB	hsTE
D7A3S14	Xiang	H.sapiens	7	PostCTB	hsCTB
D6A2S8	Xiang	H.sapiens	6	ICM	hsICM
D14A1S43	Xiang	H.sapiens	14	Intermediate	hsPostEPI.AME
D12A4B15	Xiang	H.sapiens	12	STB	hsSTB
D8_8S7	Xiang	H.sapiens	8	PostCTB	hsTE
D12A5S24	Xiang	H.sapiens	12	PrE	hsPrE
D8_8S2	Xiang	H.sapiens	8	PreEPI	hsPreEPI
D7A2S6	Xiang	H.sapiens	7	PostCTB	hsCTB
D10A6S7	Xiang	H.sapiens	10	PostEPI	hsPostEPI.E1
D8_8S4	Xiang	H.sapiens	8	PostCTB	hsTE
D6N1S9	Xiang	H.sapiens	6	PreEPI	hsPreEPI
D7A2S2	Xiang	H.sapiens	7	PreCTB	hsTE
D10A3S1	Xiang	H.sapiens	10	Early.EVT	hsCTB
D8A5S4	Xiang	H.sapiens	8	PostCTB	hsCTB
D12A3S10	Xiang	H.sapiens	12	AME	hsPostEPI.E1
D9A2S2	Xiang	H.sapiens	9	PostCTB	hsCTB
D7A1B3	Xiang	H.sapiens	7	PreCTB	hsCTB
D10A6S1	Xiang	H.sapiens	10	PrE	hsPrE
D7A2B5	Xiang	H.sapiens	7	PreCTB	hsTE
D8_8S8	Xiang	H.sapiens	8	PostCTB	hsCTB
D7A2B6	Xiang	H.sapiens	7	PostCTB	hsCTB
D9A2S4	Xiang	H.sapiens	9	PostCTB	hsCTB
D10A2S3	Xiang	H.sapiens	10	PreEPI	hsCTB
D14A1B21	Xiang	H.sapiens	14	PrE	hsPrE
D14A1B27	Xiang	H.sapiens	14	PostEPI	hsPostEPI.E2
D6N1S39	Xiang	H.sapiens	6	PrE	hsPrE
D7A3B10	Xiang	H.sapiens	7	PostCTB	hsCTB
D7A2B8	Xiang	H.sapiens	7	PostCTB	hsTE
D9A2S3	Xiang	H.sapiens	9	PostCTB	hsCTB
D7A3S8	Xiang	H.sapiens	7	PreEPI	hsPreEPI
D6A2S6	Xiang	H.sapiens	6	ICM	hsICM
D14A1S53	Xiang	H.sapiens	14	STB	hsSTB
D7A4B2	Xiang	H.sapiens	7	PrE	hsPrE
D8_8S6	Xiang	H.sapiens	8	PostCTB	hsCTB
SS.sc7786611	Tyser	H.sapiens	16.to.19	Ectoderm	hsNNEC2
SS.sc7788381	Tyser	H.sapiens	16.to.19	Ectoderm	hsNNEC1
SS.sc7786523	Tyser	H.sapiens	16.to.19	Ectoderm	hsNNEC2
SS.sc7786114	Tyser	H.sapiens	16.to.19	Ectoderm	hsNNEC2
SS.sc7786485	Tyser	H.sapiens	16.to.19	Ectoderm	hsNNEC2
SS.sc7785534	Tyser	H.sapiens	16.to.19	Ectoderm	hsNNEC2
SS.sc7786508	Tyser	H.sapiens	16.to.19	Ectoderm	hsNNEC2
SS.sc7785773	Tyser	H.sapiens	16.to.19	Ectoderm	hsNNEC2
SS.sc7785509	Tyser	H.sapiens	16.to.19	Ectoderm	hsNNEC2
SS.sc7786535	Tyser	H.sapiens	16.to.19	Ectoderm	hsNNEC2
SS.sc7786670	Tyser	H.sapiens	16.to.19	Ectoderm	hsNNEC2
SS.sc7786594	Tyser	H.sapiens	16.to.19	Ectoderm	hsNNEC2
SS.sc7785365	Tyser	H.sapiens	16.to.19	Ectoderm	hsNNEC1
SS.sc7788288	Tyser	H.sapiens	16.to.19	Ectoderm	hsNNEC2
SS.sc7785604	Tyser	H.sapiens	16.to.19	Ectoderm	hsNNEC2
SS.sc7786287	Tyser	H.sapiens	16.to.19	Ectoderm	hsNNEC2
SS.sc7786799	Tyser	H.sapiens	16.to.19	Ectoderm	hsNNEC2
SS.sc7786522	Tyser	H.sapiens	16.to.19	Ectoderm	hsNNEC2
SS.sc7785390	Tyser	H.sapiens	16.to.19	Ectoderm	hsNNEC2
SS.sc7786661	Tyser	H.sapiens	16.to.19	Ectoderm	hsNNEC1
SS.sc7785584	Tyser	H.sapiens	16.to.19	Ectoderm	hsNNEC2
SS.sc7785652	Tyser	H.sapiens	16.to.19	Ectoderm	hsNNEC2
SS.sc7786744	Tyser	H.sapiens	16.to.19	Ectoderm	hsNNEC2
SS.sc7786751	Tyser	H.sapiens	16.to.19	Ectoderm	hsNNEC2
SS.sc7786076	Tyser	H.sapiens	16.to.19	Epiblast	hsPostEPI.L5
SS.sc7786040	Tyser	H.sapiens	16.to.19	Epiblast	hsPostEPI.L5
SS.sc7786487	Tyser	H.sapiens	16.to.19	Epiblast	hsPostEPI.L5
SS.sc7786618	Tyser	H.sapiens	16.to.19	Epiblast	hsPostEPI.L5
SS.sc7786718	Tyser	H.sapiens	16.to.19	Epiblast	hsPostEPI.L5
SS.sc7786361	Tyser	H.sapiens	16.to.19	Epiblast	hsPostEPI.L5
SS.sc7786740	Tyser	H.sapiens	16.to.19	Epiblast	hsNNEC1
SS.sc7786818	Tyser	H.sapiens	16.to.19	Epiblast	hsGast4
SS.sc7788186	Tyser	H.sapiens	16.to.19	Epiblast	hsPostEPI.L5
